CRACK_INDX,FAULT_INDX,IRI_INDX,STRUCT_NEED80,AADT,CONYR,RESYR
82,0,62,0,2630,1956,1991
92,78,61,0,4920,1986,1986
85,76,53,0,6300,2012,2012
92,0,80,0,5210,1966,2018
35,73,37,0,3018,1979,1979
72,0,67,0,1754,1940,2006
75,0,72,0,660,1952,2006
79,0,64,0,420,1952,2006
100,0,94,0,1180,1939,2021
90,0,89,0,1440,1939,2021
44,0,35,0,1375,1938,1994
83,0,87,0,2254,1970,2013
100,0,83,0,2863,1930,2023
55,40,59,1.77,3090,1970,1994
36,0,67,0,3260,1930,1987
27,0,21,0,3700,1930,2007
39,0,36,0,4344,1958,2007
100,0,77,0,1830,1930,2023
100,0,83,0,1720,1930,2023
100,0,82,0,1720,1997,2023
100,0,82,0,1720,1997,2023
100,0,82,0,1720,1997,2023
100,0,83,0,1540,1930,2023
100,0,83,0,1450,1976,2023
100,0,83,0,1450,1930,2023
60,0,59,0,1503,1928,2004
95,0,99,0,2609,1968,2020
99,0,95,0,4652,1968,2019
98,0,93,0,5879,1968,2019
99,69,65,0,6789,2017,2017
78,63,56,0,4392,1996,1996
100,0,82,0,3905,1997,2023
97,0,92,0,2458,1930,2017
92,69,79,0,1760,1930,2013
77,0,38,0,1760,1928,2013
88,0,78,0,1888,1928,2015
58,30,24,0,3470,1957,1957
35,0,0,0,3444,1966,1966
49,0,44,0,2867,1929,1998
46,0,73,0,2820,1929,1998
60,0,80,0,2820,1929,1998
53,0,58,0,2820,1929,1998
53,0,61,0,2018,1929,1998
74,0,60,0,1344,1961,1998
59,0,67,0,2130,1929,1998
57,0,55,0,2130,1929,1998
41,0,52,0,2130,1928,1998
79,0,75,0,2130,1928,1998
47,0,52,0,2555,1928,1998
28,0,14,5.73,3425,1929,1998
87,63,56,0,3260,2013,2013
91,0,76,0,2708,1936,2007
86,0,63,0,2110,1936,2006
95,0,77,0,2405,1936,2006
70,0,63,0,3006,1935,2006
93,0,68,0,2213,1940,2006
75,0,59,0,990,1948,2009
82,0,55,0,798,1942,2004
57,0,76,0,665,1940,2009
95,0,83,2.31,1770,1940,2021
95,0,80,0,1770,1927,2021
100,75,77,0,1760,2020,2020
100,71,77,0,1750,2019,2019
100,100,69,0,1760,2023,2023
63,0,36,0,1710,1927,2001
70,0,62,0,1710,1927,2001
64,0,64,0,1717,1927,2011
64,0,61,0,1720,1927,2011
74,0,60,0,2588,1976,2011
88,0,82,0,5200,1976,2017
92,0,71,0,935,1967,2013
87,0,88,0,2476,1958,2016
78,0,83,0,1830,1957,2011
75,0,69,0,2020,1957,2012
74,0,78,0,1785,1957,2012
87,0,85,0,2133,1954,2012
89,85,72,0,2180,1986,1986
14,0,57,0,4283,1938,1993
27,0,75,0,3853,1930,1993
32,0,75,0,3748,1931,1993
46,0,76,0,3670,1931,1984
47,0,67,0,3621,1930,2007
89,75,65,0,2730,2007,2007
91,75,57,0,4300,2000,2000
90,74,56,0,3598,2003,2003
76,0,74,0,4500,2003,2005
59,73,58,0,4533,2003,2003
84,80,59,0,4766,2003,2003
70,76,74,0,5416,1999,1999
60,68,59,0,7000,1998,1998
96,73,60,0,9260,1997,1997
81,73,66,0,11856,2000,2000
84,72,63,0,12985,2000,2000
78,75,71,0,13894,2002,2002
87,75,72,0,3125,2007,2007
61,0,68,0,4300,1966,2003
44,0,63,0,4300,1931,2003
43,0,46,0,1430,1938,1994
65,0,60,0,1150,1938,1995
57,0,67,0,870,1938,1995
66,69,62,0,1103,1991,1991
31,0,59,0,1570,1938,1993
73,0,77,0,2083,1947,2013
72,0,78,0,2270,1937,2013
69,0,52,0,2598,1937,2014
75,0,80,0,3020,1937,2014
71,0,82,0,3020,1937,2014
49,0,47,0,2857,1940,1992
42,22,12,0,2810,1975,1975
61,0,59,0,3350,1933,1995
60,0,60,0,3380,1934,1995
65,0,50,0,2595,1936,1995
74,0,30,0,2247,1935,1995
62,0,40,0,2305,1935,1995
79,10,45,0,2443,1967,1967
50,0,21,0,3842,1956,2011
47,0,65,0,1855,1940,2000
59,0,70,0,1800,1936,2000
59,0,71,0,1897,1936,2000
73,0,67,0,2187,1932,2000
60,0,51,0,2380,1933,1992
53,0,58,0,2396,1933,1992
100,100,69,0,2800,2023,2023
98,78,73,0,3040,2009,2009
100,100,69,0,2440,2023,2023
56,0,0,0,1925,1936,2006
53,0,0,0,1573,1936,2006
49,0,24,0,1460,1937,1958
53,0,32,0,977,1937,1958
98,0,90,0,1677,1952,2018
85,0,84,0,1960,1982,2018
70,0,81,0,2120,1949,2016
88,0,84,0,2120,1949,2016
90,0,85,0,2500,1949,2016
92,0,87,0,6190,1949,2020
84,0,77,0,8533,1952,2020
93,0,71,0,8633,1956,2020
96,0,82,0,7900,1957,2021
99,0,91,0,5730,1957,2021
100,0,94,0,4035,1975,2021
100,0,98,0,3780,1975,2021
99,0,96,0,5647,1975,2021
93,0,33,0,7700,1975,2000
78,57,43,0,8400,1995,1995
94,0,60,0,6250,1939,2022
76,0,58,0,7000,1938,2017
74,0,45,0,7850,1927,2011
84,0,52,0,9050,1926,2019
76,63,26,0,6887,1977,1977
93,0,56,0,3398,1927,1950
86,0,65,0,2445,1927,2008
80,0,56,0,2492,1928,2008
85,0,51,0,3327,1928,2008
81,0,39,0,5548,1956,2017
70,0,0,0,4793,1956,1956
96,80,66,0,4300,2000,2000
91,76,56,0,3652,2002,2002
87,80,62,0,4525,2003,2003
75,87,60,0,4400,2003,2003
79,75,50,0,4790,2003,2003
97,80,63,0,5250,2003,2003
90,77,69,0,5583,1998,1998
66,73,60,0,6972,1998,1998
96,74,60,0,8463,1997,1997
89,73,63,0,11365,2000,2000
57,74,67,0,12783,2000,2000
95,73,72,0,13440,2002,2002
98,64,61,0,7205,2018,2018
91,79,77,0,3350,2018,2018
88,0,86,0,6667,1968,2012
85,0,80,0,5395,1969,2012
82,0,75,0,3668,1930,2012
87,0,90,0,4648,1930,2013
61,68,57,0,4888,1994,1994
96,0,82,0,2137,1930,2019
98,0,81,0,1425,1930,2019
55,0,71,0,2173,1930,2021
48,0,73,0,2905,1930,2021
70,55,56,0,6323,1994,1994
100,53,50,0,10100,2015,2015
89,0,64,0,8650,2015,2017
88,0,60,0,6200,1970,2017
89,0,78,0,3837,1979,2017
89,0,64,0,4910,1979,2017
90,0,88,0,2270,1931,2017
86,0,81,0,2270,1931,2017
90,0,87,0,1823,1931,2017
40,0,42,0,6767,1951,1987
75,0,70,0,8533,2000,2009
100,0,93,0,5200,2000,2020
88,67,63,0,7912,1999,1999
90,64,67,0,14640,1999,1999
100,63,71,0,15816,1998,1998
98,62,53,0,15650,1998,1998
69,63,62,0,16675,2021,2021
84,0,61,0,11850,1971,2017
82,0,66,0,19800,1950,2017
78,0,4,0,10050,1950,2017
82,0,46,0,10675,1950,2017
94,0,63,0,21700,1934,2021
97,0,63,0,20050,1950,2021
98,0,68,0,19300,1950,2021
98,0,67,0,21233,1950,2021
95,0,70,0,11150,1934,2021
63,0,35,0,19500,1950,1985
57,0,50,0,17533,1930,2004
55,0,20,1.15,17800,1930,2001
16,0,22,3.45,17800,1930,2001
83,0,34,0,8266,1930,2016
81,0,53,0,7950,1934,2016
85,0,69,0,8700,1920,2016
79,58,55,0,9490,1998,1998
87,0,67,0,10891,1920,2016
43,23,25,0,9866,1990,1990
85,0,57,0,7300,1969,2016
88,0,55,0,14200,1956,2010
80,0,65,0,10467,1956,2003
70,0,62,0,3740,1975,2003
74,0,64,0,4266,1975,2003
45,0,47,0,4815,1975,2016
68,0,52,0,3214,1966,2005
49,42,1,0,6525,1966,1966
66,0,17,0,7100,1938,2009
86,0,74,0,19960,1971,2020
100,69,69,0,980,2019,2019
97,75,70,0,3071,2018,2018
88,0,71,0,2060,1959,2017
99,0,96,0,5120,2000,2020
88,71,66,0,7912,1999,1999
96,67,71,0,14010,1999,1999
97,58,64,0,15816,1999,1999
96,69,61,0,15650,1998,1998
66,53,48,0,16675,2021,2021
66,0,37,0,15400,1957,2017
66,0,81,0,12200,1931,2017
79,0,65,0,10100,1971,2017
78,0,68,0,10066,1971,2003
96,0,65,0,10730,1950,2021
85,0,56,0,8425,1998,2016
82,0,71,0,8950,1998,2016
78,53,52,0,9780,1998,1998
69,0,41,0,10100,1998,2016
,0,,0,7300,1957,1957
96,0,89,0,3597,1952,2016
90,0,69,0,3030,1952,2016
80,0,56,0,2897,1952,1988
81,0,75,0,1943,1955,2007
87,0,78,0,1510,1956,2007
96,0,92,0,1377,1956,2013
97,0,94,0,2194,1930,2013
94,0,92,0,3153,1930,2013
89,0,92,0,3580,1985,2018
88,0,89,0,3617,1987,2018
75,0,78,0,3690,1930,2011
74,0,79,0,3690,1927,2011
82,0,94,0,4495,1955,2018
50,0,82,0,8233,1927,2011
52,0,63,0,8933,1927,1991
99,71,55,0,6720,2019,2019
69,0,71,0,11400,1927,1991
42,0,47,0,10950,1927,1991
46,0,6,0,11250,1956,1956
63,53,52,0,6000,2008,2008
91,75,67,0,11800,2008,2008
75,0,68,0,24750,1951,2008
64,0,55,0,26100,1951,2006
89,0,83,0,29767,1951,2018
89,0,78,0,15530,1932,2018
86,0,78,0,22700,1958,2018
85,0,73,0,24175,1958,2018
84,0,73,0,9744,1958,2013
44,0,73,0,9840,1958,2006
88,20,37,0,4960,1958,1958
71,0,63,0,4435,1928,2010
79,0,75,0,4707,1930,2010
68,0,31,0,5084,1928,2001
58,0,26,0,4552,1940,2001
79,0,56,0,2000,1939,2001
89,0,70,0,2456,1930,2001
74,0,63,0,4640,1965,2006
74,0,52,0,2443,1959,2001
79,0,58,0,5758,1937,2009
63,0,47,0,7550,1982,2009
53,18,8,0,7950,1982,1982
53,0,0,0,10250,1982,1982
41,0,0,0,12050,1972,1972
57,0,16,0,15887,1964,1984
95,0,73,0,18050,1937,2020
88,0,67,0,16516,1937,2020
96,0,66,0,14000,1937,1964
54,0,5,0,6700,1931,2006
57,0,25,0,5007,1931,2006
64,0,49,0,2937,1931,1984
81,0,81,0,1820,1931,2010
97,0,93,0,1728,1931,2013
70,0,72,0,1607,1931,2014
97,0,95,0,1205,1931,2013
81,0,84,0,2113,1978,2010
90,0,85,0,2420,1978,2010
51,0,43,0,4300,1935,2003
76,0,47,0,4266,1935,2003
70,0,74,0,2392,1935,2003
62,0,47,0,3095,1963,2005
91,68,42,0,5533,2019,2019
90,63,60,0,9716,1961,1961
88,0,67,0,12250,1960,2018
84,0,72,0,10178,1958,2013
14,31,18,0,7940,1982,1982
37,0,0,0,9983,1982,1982
41,0,0,0,12050,1972,1972
53,0,20,0,14962,1972,1984
66,0,65,0,16658,1964,2020
67,63,72,0,14000,1937,1937
84,0,56,0,7944,1971,2017
88,20,44,0,1725,2018,2018
73,0,91,0,2672,1936,2016
79,0,95,0,2880,1936,2016
81,0,94,0,4698,1937,2016
88,0,93,0,5900,1937,2016
91,0,64,0,5900,1937,1989
66,0,56,0,7125,1967,2007
53,0,40,0,8700,1932,2007
50,0,63,0,6829,1952,1993
65,0,50,0,5450,1932,1961
87,75,62,0,4037,1932,1932
67,0,48,0,1825,1938,2000
70,0,59,0,1260,1938,2000
65,0,66,0,970,1938,2000
66,0,65,0,605,1937,2000
51,0,66,0,1015,1938,1999
66,0,63,0,2050,1938,1999
96,0,73,0,2460,1938,2009
95,0,78,0,2460,1975,2009
97,0,87,0,2460,1931,2009
96,0,76,0,2620,1975,2009
89,0,84,0,3183,1931,2009
93,0,72,0,3710,1975,2009
62,0,0,6.16,1990,1930,1997
96,0,87,0,2065,1941,2011
55,0,44,0,1873,1971,1994
68,0,39,0,1060,1971,1999
43,0,59,0,3400,1946,2011
88,0,87,0,3510,1946,2019
95,0,85,0,3875,1946,2019
100,0,81,0,4130,1946,2019
97,0,79,0,4383,1981,2019
95,0,88,0,4340,1941,2019
98,0,80,0,3240,1938,2019
94,0,87,0,3240,1938,2019
93,0,80,0,3435,1938,2019
95,0,87,0,3630,1938,2019
63,50,48,0,4615,1973,1973
51,0,61,0,3120,1936,1991
50,0,57,0,2440,1937,1991
51,0,66,0,1590,1950,1999
46,0,69,0,1724,1950,1999
81,0,61,0,2102,1931,1983
